tree_key,scheme,k_mode,ratio,allocation,window_no,is_start,is_end,oos_start,oos_end,n_oos_months,n_clusters,target_total,n_draws,n_members_mean,n_backfilled_mean,enb_computed,oos_cagr,oos_cagr_std,oos_mdd,oos_mdd_std,oos_sharpe,oos_sharpe_std,oos_enb,oos_enb_std
TW,G,fixed,0.03,equal,3,2007-01,2020-12,2021-01,2022-12,24,6,200,30,200.0,16.2,True,0.1613669746081875,0.0042946904472229,-0.134778648837751,0.0013441876075131,0.8243174196156874,0.0171814338394649,2.123875037557288,0.0369391430222077
TW,G,fixed,0.03,proportional,3,2007-01,2020-12,2021-01,2022-12,24,6,200,30,200.0,0.0,True,0.1659573551108188,0.0037000019864867,-0.1335064474222669,0.001100346462007,0.8454599425668513,0.0143639428942826,2.161559390240243,0.0268708506307789
TW,G,fixed,0.05,equal,3,2007-01,2020-12,2021-01,2022-12,24,6,334,30,334.0,59.13333333333333,True,0.1556662612538421,0.0030327230107247,-0.1336103808419918,0.0008042393544482,0.8048539628952793,0.0122684099808163,2.1519317743064814,0.0309303617974204
TW,G,fixed,0.05,proportional,3,2007-01,2020-12,2021-01,2022-12,24,6,334,30,334.0,0.0,True,0.149564561538466,0.0020256232285076,-0.1339606223893419,0.0009855036012839,0.7829189057834465,0.0084611095034712,2.315068384010999,0.0248120463098377
TW,G,fixed,0.1,equal,3,2007-01,2020-12,2021-01,2022-12,24,6,668,30,668.0,206.4333333333333,False,0.1473225264812505,0.0018774972997679,-0.1331604304844033,0.0007389673225178,0.7722415315257133,0.0073279746675908,,
TW,G,fixed,0.1,proportional,3,2007-01,2020-12,2021-01,2022-12,24,6,668,30,668.0,163.33333333333334,False,0.1533061817572502,0.0020199027800725,-0.13417640388473,0.0005408202848541,0.7896468761736664,0.0075695398507696,,
TW,G,silhouette_is,legacy,equal,3,2007-01,2020-12,2021-01,2022-12,24,6,30,30,30.0,0.0,True,0.2020263642991051,0.0098574096814076,-0.1337469055023004,0.0020257856423286,0.9570950414039427,0.0349961470703913,1.7625182629133525,0.060520424089733
TW,G,silhouette_is,legacy,proportional,3,2007-01,2020-12,2021-01,2022-12,24,6,30,30,30.0,0.0,True,0.208784135492624,0.0120305711620329,-0.137795795193136,0.0020434073368386,0.9663273584036,0.0417698894827698,1.774158457957562,0.044651417645233
TW,G,silhouette_is,0.01,equal,3,2007-01,2020-12,2021-01,2022-12,24,6,67,30,67.0,0.0333333333333333,True,0.1813350229678963,0.0056996803186579,-0.1373507192817725,0.0021168155584811,0.8816412803084623,0.0218758415725499,1.9350382168549949,0.0396346929945008
TW,G,silhouette_is,0.01,proportional,3,2007-01,2020-12,2021-01,2022-12,24,6,67,30,67.0,0.0,True,0.1877693513876796,0.006434579671707,-0.1376241496938331,0.0020999076394578,0.902965874496324,0.0210495489028233,1.9321354420588293,0.0370568607471646
